,mean,ci_lower,ci_upper,ci_width,std
P,152.23872086033225,142.3342286153282,162.14321310533632,9.904492245004064,30.969392556642404
C_m,185.5057074315846,181.0966595381391,189.9147553250301,4.409047893445481,13.786222618532056
B,13.407091560657136,12.391241637337195,14.422941483977077,1.0158499233199416,3.176362227937455
alpha,0.92755037676543,0.9119985842108984,0.9431021693199615,0.015551792554531499,0.04862738610590501
F,96.1602079635486,88.9137485737691,103.4066673533281,7.246459389779497,22.65824839239465
beta,0.17327919252216814,0.15832123691562247,0.1882371481287138,0.014957955606545675,0.04677057516578964
W_m,35.752925095148385,32.40181246881544,39.104037721481326,3.3511126263329394,10.478267826275948
I,29.087807136180345,26.095853512853225,32.079760759507465,2.9919536233271193,9.355248505426855
R_c,201.39669932192191,189.01882105066963,213.7745775931742,12.377878271252284,38.703182527514706
C_c,19.60906399792293,18.1533756674586,21.06475232838726,1.4556883304643289,4.551650123105801
gamma,0.5826360684726387,0.5495351109567074,0.61573702598857,0.03310095751593136,0.10350016153818499
R_p,21.93280222487374,20.945137290657247,22.920467159090233,0.9876649342164936,3.0882333294379225
C_p,81.09323999006301,77.5893908816137,84.59708909851233,3.5038491084493155,10.955844662662344
